feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
dep_len,te,en,residual,trankit,mbert-base,Low,-0.0066583325366140755
sent_len,te,en,residual,trankit,xlmr-base,High,-0.00736663173262031
sent_len,te,en,residual,trankit,xlmr-base,Low,-0.014380221758901635
sent_len,te,en,residual,trankit,xlmr-base,Medium,-0.011923838400587083
lex_len,te,en,residual,trankit,xlmr-base,High,-0.008639074279698566
lex_len,te,en,residual,trankit,xlmr-base,Low,-0.010044009494749373
lex_len,te,en,residual,trankit,xlmr-base,Medium,-0.008284091158191176
dep_len,te,en,residual,trankit,xlmr-base,High,-0.012132042379816466
dep_len,te,en,residual,trankit,xlmr-base,Low,-0.007592212658691033
sent_len,te,hi,residual,stanza,mbert-base,High,-0.00508499959672204
sent_len,te,hi,residual,stanza,mbert-base,Medium,-0.006377295363363955
sent_len,te,hi,residual,stanza,mbert-base,Low,-0.013261943550833988
lex_len,te,hi,residual,stanza,mbert-base,High,-0.006603476189281476
lex_len,te,hi,residual,stanza,mbert-base,Low,-0.010715578239488655
lex_len,te,hi,residual,stanza,mbert-base,Medium,-0.0103926134078407
dep_len,te,hi,residual,stanza,mbert-base,High,-0.013214973668127628
dep_len,te,hi,residual,stanza,mbert-base,Medium,-0.011797534336243642
dep_len,te,hi,residual,stanza,mbert-base,Low,-0.007090651262829484
sent_len,te,hi,residual,stanza,xlmr-base,High,-0.004322613251508511
sent_len,te,hi,residual,stanza,xlmr-base,Medium,-0.004221902018581747
sent_len,te,hi,residual,stanza,xlmr-base,Low,-0.012013639461320502
lex_len,te,hi,residual,stanza,xlmr-base,High,-0.00744656170104796
lex_len,te,hi,residual,stanza,xlmr-base,Low,-0.008760324813586018
lex_len,te,hi,residual,stanza,xlmr-base,Medium,-0.008446489432971216
dep_len,te,hi,residual,stanza,xlmr-base,High,-0.01151002771620635
dep_len,te,hi,residual,stanza,xlmr-base,Medium,-0.009180641242091392
dep_len,te,hi,residual,stanza,xlmr-base,Low,-0.007172849401206993
sent_len,te,hi,residual,trankit,mbert-base,High,-0.0033405162287113432
sent_len,te,hi,residual,trankit,mbert-base,Medium,-0.005548424735659752
sent_len,te,hi,residual,trankit,mbert-base,Low,-0.012537423559267014
lex_len,te,hi,residual,trankit,mbert-base,High,-0.006408866630635113
lex_len,te,hi,residual,trankit,mbert-base,Low,-0.009510387403963039
lex_len,te,hi,residual,trankit,mbert-base,Medium,-0.007452810022225975
dep_len,te,hi,residual,trankit,mbert-base,High,-0.011947540881816265
dep_len,te,hi,residual,trankit,mbert-base,Medium,-0.009197200054197996
dep_len,te,hi,residual,trankit,mbert-base,Low,-0.006835898466760804
sent_len,te,hi,residual,trankit,xlmr-base,High,-0.0034093188669881425
sent_len,te,hi,residual,trankit,xlmr-base,Medium,-0.011274124576021616
sent_len,te,hi,residual,trankit,xlmr-base,Low,-0.01215596907591543
lex_len,te,hi,residual,trankit,xlmr-base,High,-0.0072771230498673845
lex_len,te,hi,residual,trankit,xlmr-base,Low,-0.010228956163945813
lex_len,te,hi,residual,trankit,xlmr-base,Medium,-0.004821296377699125
dep_len,te,hi,residual,trankit,xlmr-base,High,-0.011137087774282461
dep_len,te,hi,residual,trankit,xlmr-base,Medium,-0.009158419934285011
dep_len,te,hi,residual,trankit,xlmr-base,Low,-0.007697437746182145
sent_len,te,te,residual,stanza,mbert-base,High,-0.006097307759831305
sent_len,te,te,residual,stanza,mbert-base,Medium,0.004143668702369485
sent_len,te,te,residual,stanza,mbert-base,Low,-0.009523978308514813
lex_len,te,te,residual,stanza,mbert-base,Medium,-0.009913117621364598
lex_len,te,te,residual,stanza,mbert-base,High,-0.006179211533822504
lex_len,te,te,residual,stanza,mbert-base,Low,-0.008472552072755102
dep_len,te,te,residual,stanza,mbert-base,High,-0.008103929745112981
dep_len,te,te,residual,stanza,mbert-base,Low,-0.0069763837544504215
dep_len,te,te,residual,stanza,mbert-base,Medium,-0.01290126171423045
sent_len,te,te,residual,stanza,xlmr-base,High,-0.004423747845159531
sent_len,te,te,residual,stanza,xlmr-base,Low,-0.009722968856788805
sent_len,te,te,residual,stanza,xlmr-base,Medium,0.0012558500726465027
lex_len,te,te,residual,stanza,xlmr-base,High,-0.005837249999158467
lex_len,te,te,residual,stanza,xlmr-base,Low,-0.009842204082221584
lex_len,te,te,residual,stanza,xlmr-base,Medium,-0.007807064051806534
dep_len,te,te,residual,stanza,xlmr-base,High,-0.0069608573419457365
dep_len,te,te,residual,stanza,xlmr-base,Low,-0.006975025838935389
dep_len,te,te,residual,stanza,xlmr-base,Medium,-0.012352196986386677
sent_len,te,te,residual,trankit,mbert-base,High,-0.004270466018018504
sent_len,te,te,residual,trankit,mbert-base,Medium,0.0010526136627863059
sent_len,te,te,residual,trankit,mbert-base,Low,-0.008808292861967604
lex_len,te,te,residual,trankit,mbert-base,High,-0.006191260853816938
lex_len,te,te,residual,trankit,mbert-base,Low,-0.010399430592666237
lex_len,te,te,residual,trankit,mbert-base,Medium,-0.008225925780161902
dep_len,te,te,residual,trankit,mbert-base,High,-0.007041561285852427
dep_len,te,te,residual,trankit,mbert-base,Medium,-0.010461867977391903
dep_len,te,te,residual,trankit,mbert-base,Low,-0.007557444907659749
sent_len,te,te,residual,trankit,xlmr-base,High,-0.002564204805393766
sent_len,te,te,residual,trankit,xlmr-base,Low,-0.00935327800319552
sent_len,te,te,residual,trankit,xlmr-base,Medium,0.0029591056680992045
lex_len,te,te,residual,trankit,xlmr-base,High,-0.004964570955373948
lex_len,te,te,residual,trankit,xlmr-base,Low,-0.008656017588485776
lex_len,te,te,residual,trankit,xlmr-base,Medium,-0.009557367884056145
dep_len,te,te,residual,trankit,xlmr-base,High,-0.006988643197056055
dep_len,te,te,residual,trankit,xlmr-base,Medium,-0.010349601520841745
dep_len,te,te,residual,trankit,xlmr-base,Low,-0.007616022403792666
