src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,ar,trankit,rgat,mbert-base,15232,0.7484896388973363
en,ar,None,None,mbert-base,15232,0.6951749864813483
en,ar,stanza,rgcn,xlmr-base,11737,0.652831129292847
en,ar,stanza,rgat,xlmr-base,11737,0.5509614645822117
en,ar,trankit,rgcn,xlmr-base,11737,0.6116708305290863
en,ar,trankit,rgat,xlmr-base,11737,0.595909410100623
en,ar,None,None,xlmr-base,11737,0.6429513151857458
en,ar,stanza,rgcn,xlmr-base,15123,0.6164794796302051
en,ar,stanza,rgat,xlmr-base,15123,0.5020680950764673
en,ar,trankit,rgcn,xlmr-base,15123,0.5547513612259893
en,ar,trankit,rgat,xlmr-base,15123,0.6373398457205628
en,ar,None,None,xlmr-base,15123,0.5958935055014818
en,ar,stanza,rgcn,xlmr-base,98105,0.5539594622711971
en,ar,stanza,rgat,xlmr-base,98105,0.613289077209467
en,ar,trankit,rgcn,xlmr-base,98105,0.6511330777620372
en,ar,trankit,rgat,xlmr-base,98105,0.5713406147016207
en,ar,None,None,xlmr-base,98105,0.6077477116998531
en,ar,stanza,rgcn,xlmr-base,98109,0.615400429971988
en,ar,stanza,rgat,xlmr-base,98109,0.6172435559079837
en,ar,trankit,rgcn,xlmr-base,98109,0.6116318530865001
en,ar,trankit,rgat,xlmr-base,98109,0.6104886005178242
en,ar,None,None,xlmr-base,98109,0.6015929211382756
en,ar,stanza,rgcn,xlmr-base,15232,0.6272456532868258
en,ar,stanza,rgat,xlmr-base,15232,0.5578691359615688
en,ar,trankit,rgcn,xlmr-base,15232,0.6161729944822832
en,ar,trankit,rgat,xlmr-base,15232,0.5884100259193623
en,ar,None,None,xlmr-base,15232,0.5800479014579554
en,zh,stanza,rgcn,mbert-base,11737,0.7252686230729367
en,zh,stanza,rgat,mbert-base,11737,0.7209345119365703
en,zh,trankit,rgcn,mbert-base,11737,0.7031690310297984
en,zh,trankit,rgat,mbert-base,11737,0.6950477748741368
en,zh,None,None,mbert-base,11737,0.7052958414777641
en,zh,stanza,rgcn,mbert-base,15123,0.7083985369222899
en,zh,stanza,rgat,mbert-base,15123,0.7191266917234613
en,zh,trankit,rgcn,mbert-base,15123,0.6347808027509447
en,zh,trankit,rgat,mbert-base,15123,0.6998649402766038
en,zh,None,None,mbert-base,15123,0.6955546646276198
en,zh,stanza,rgcn,mbert-base,98105,0.6971824815042982
en,zh,stanza,rgat,mbert-base,98105,0.7274421296706906
en,zh,trankit,rgcn,mbert-base,98105,0.6850762127210459
en,zh,trankit,rgat,mbert-base,98105,0.7083532116172235
en,zh,None,None,mbert-base,98105,0.6828948573692926
en,zh,stanza,rgcn,mbert-base,98109,0.7263442918692057
en,zh,stanza,rgat,mbert-base,98109,0.7108555311864497
en,zh,trankit,rgcn,mbert-base,98109,0.6918960056261907
en,zh,trankit,rgat,mbert-base,98109,0.663143990905837
en,zh,None,None,mbert-base,98109,0.6898056150917352
en,zh,stanza,rgcn,mbert-base,15232,0.6475732145616806
en,zh,stanza,rgat,mbert-base,15232,0.7021915002974506
en,zh,trankit,rgcn,mbert-base,15232,0.6890630748059541
en,zh,trankit,rgat,mbert-base,15232,0.6564195104473712
en,zh,None,None,mbert-base,15232,0.7102793200637838
en,zh,stanza,rgcn,xlmr-base,11737,0.6386748708588967
en,zh,stanza,rgat,xlmr-base,11737,0.6276903142138767
en,zh,trankit,rgcn,xlmr-base,11737,0.6585344665369492
en,zh,trankit,rgat,xlmr-base,11737,0.5132468030790933
en,zh,None,None,xlmr-base,11737,0.6214730219324098
en,zh,stanza,rgcn,xlmr-base,15123,0.5614566522909037
en,zh,stanza,rgat,xlmr-base,15123,0.6008232070587223
en,zh,trankit,rgcn,xlmr-base,15123,0.5974067587321428
