src,tgt,dep_model,gnn_model,ml_model,seed,f1
te,hi,None,None,mbert-base,15123,0.4266290474261593
te,hi,stanza,rgcn,mbert-base,98105,0.4771965036453066
te,hi,stanza,rgat,mbert-base,98105,0.5646609264197572
te,hi,trankit,rgcn,mbert-base,98105,0.503363114770017
te,hi,trankit,rgat,mbert-base,98105,0.5178071939836886
te,hi,None,None,mbert-base,98105,0.5166221769270394
te,hi,stanza,rgcn,mbert-base,98109,0.5025285810996103
te,hi,stanza,rgat,mbert-base,98109,0.5360479583422377
te,hi,trankit,rgcn,mbert-base,98109,0.5425646762367465
te,hi,trankit,rgat,mbert-base,98109,0.5328464628065851
te,hi,None,None,mbert-base,98109,0.5784763609536601
te,hi,stanza,rgcn,mbert-base,15232,0.5216902337317408
te,hi,stanza,rgat,mbert-base,15232,0.5710527462163716
te,hi,trankit,rgcn,mbert-base,15232,0.5431520302325658
te,hi,trankit,rgat,mbert-base,15232,0.5118271157537072
te,hi,None,None,mbert-base,15232,0.5366357306772802
te,hi,stanza,rgcn,xlmr-base,11737,0.5517255904337875
te,hi,stanza,rgat,xlmr-base,11737,0.46620097521362697
te,hi,trankit,rgcn,xlmr-base,11737,0.5363771118610771
te,hi,trankit,rgat,xlmr-base,11737,0.493315769677047
te,hi,None,None,xlmr-base,11737,0.5260678251921946
te,hi,stanza,rgcn,xlmr-base,15123,0.5672048478039823
te,hi,stanza,rgat,xlmr-base,15123,0.47315247154196666
te,hi,trankit,rgcn,xlmr-base,15123,0.5453495305311488
te,hi,trankit,rgat,xlmr-base,15123,0.4930566344183728
te,hi,None,None,xlmr-base,15123,0.4977076616861037
te,hi,stanza,rgcn,xlmr-base,98105,0.4636095688907298
te,hi,stanza,rgat,xlmr-base,98105,0.5561185163565028
te,hi,trankit,rgcn,xlmr-base,98105,0.5209261246393617
te,hi,trankit,rgat,xlmr-base,98105,0.5556254637243907
te,hi,None,None,xlmr-base,98105,0.538244113835888
te,hi,stanza,rgcn,xlmr-base,98109,0.5448851450543
te,hi,stanza,rgat,xlmr-base,98109,0.5252415874247238
te,hi,trankit,rgcn,xlmr-base,98109,0.5303211930084796
te,hi,trankit,rgat,xlmr-base,98109,0.5413102935782355
te,hi,None,None,xlmr-base,98109,0.4527131858517768
te,hi,stanza,rgcn,xlmr-base,15232,0.5325689878946055
te,hi,stanza,rgat,xlmr-base,15232,0.47783629017464974
te,hi,trankit,rgcn,xlmr-base,15232,0.516710412890963
te,hi,trankit,rgat,xlmr-base,15232,0.5129980290947931
te,hi,None,None,xlmr-base,15232,0.5208408216879342
te,te,stanza,rgcn,mbert-base,11737,0.8706074164961578
te,te,stanza,rgat,mbert-base,11737,0.8558954102703358
te,te,trankit,rgcn,mbert-base,11737,0.8378254392064037
te,te,trankit,rgat,mbert-base,11737,0.8463868548930964
te,te,None,None,mbert-base,11737,0.8544842180396137
te,te,stanza,rgcn,mbert-base,15123,0.8481001286298271
te,te,stanza,rgat,mbert-base,15123,0.8479482896429976
te,te,trankit,rgcn,mbert-base,15123,0.8274732525902706
te,te,trankit,rgat,mbert-base,15123,0.8342705187068841
te,te,None,None,mbert-base,15123,0.8138911900614157
te,te,stanza,rgcn,mbert-base,98105,0.8435932043216708
te,te,stanza,rgat,mbert-base,98105,0.8735921192649609
te,te,trankit,rgcn,mbert-base,98105,0.8211865098563281
te,te,trankit,rgat,mbert-base,98105,0.822158528398002
te,te,None,None,mbert-base,98105,0.8445571693329397
te,te,stanza,rgcn,mbert-base,98109,0.8379437743035985
te,te,stanza,rgat,mbert-base,98109,0.8344233667305987
te,te,trankit,rgcn,mbert-base,98109,0.8829854454100281
te,te,trankit,rgat,mbert-base,98109,0.8353953778559485
te,te,None,None,mbert-base,98109,0.8467749944711775
te,te,stanza,rgcn,mbert-base,15232,0.8635471304449703
te,te,stanza,rgat,mbert-base,15232,0.8161391507368657
te,te,trankit,rgcn,mbert-base,15232,0.8556377111797864
te,te,trankit,rgat,mbert-base,15232,0.85508000276019
te,te,None,None,mbert-base,15232,0.8340347920681591
te,te,stanza,rgcn,xlmr-base,11737,0.8437596666304835
te,te,stanza,rgat,xlmr-base,11737,0.8494917991746788
te,te,trankit,rgcn,xlmr-base,11737,0.8572866815238082
te,te,trankit,rgat,xlmr-base,11737,0.8457315574285952
te,te,None,None,xlmr-base,11737,0.8489235442465463
te,te,stanza,rgcn,xlmr-base,15123,0.865387010865815
te,te,stanza,rgat,xlmr-base,15123,0.8368212393767775
te,te,trankit,rgcn,xlmr-base,15123,0.8129837223982534
te,te,trankit,rgat,xlmr-base,15123,0.8174006879482401
te,te,None,None,xlmr-base,15123,0.8783084407188246
te,te,stanza,rgcn,xlmr-base,98105,0.8536329691511028
te,te,stanza,rgat,xlmr-base,98105,0.8474959878001741
te,te,trankit,rgcn,xlmr-base,98105,0.844669121469563
te,te,trankit,rgat,xlmr-base,98105,0.8809440801182314
te,te,None,None,xlmr-base,98105,0.8553644806782267
te,te,stanza,rgcn,xlmr-base,98109,0.8499015203289606
te,te,stanza,rgat,xlmr-base,98109,0.8570712964837256
te,te,trankit,rgcn,xlmr-base,98109,0.8360541653334197
te,te,trankit,rgat,xlmr-base,98109,0.8499378713365231
te,te,None,None,xlmr-base,98109,0.854146636660688
te,te,stanza,rgcn,xlmr-base,15232,0.8438669716188129
te,te,stanza,rgat,xlmr-base,15232,0.8642241489125132
te,te,trankit,rgcn,xlmr-base,15232,0.8533812554728243
te,te,trankit,rgat,xlmr-base,15232,0.8115257190804136
te,te,None,None,xlmr-base,15232,0.8452101984375675
