src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
it,en,None,None,mbert-base,"[98105, 11737, 98109]",75.45,0.35,74.47,1.53
it,en,stanza,rgcn,xlmr-base,"[15123, 98109, 15232]",73.26,1.97,71.4,3.24
it,en,stanza,rgat,xlmr-base,"[98105, 98109, 15123]",74.88,1.01,73.46,2.1
it,en,trankit,rgcn,xlmr-base,"[15123, 98105, 98109]",73.31,1.15,72.5,1.43
it,en,trankit,rgat,xlmr-base,"[98109, 15232, 15123]",72.63,1.85,71.26,2.2
it,en,None,None,xlmr-base,"[15123, 15232, 11737]",71.22,1.14,69.92,1.82
it,es,stanza,rgcn,mbert-base,"[11737, 15232, 15123]",82.97,0.66,82.13,1.2
it,es,stanza,rgat,mbert-base,"[11737, 98105, 15232]",83.81,0.67,82.06,3.04
it,es,trankit,rgcn,mbert-base,"[15232, 15123, 98105]",82.32,0.31,81.98,0.52
it,es,trankit,rgat,mbert-base,"[98105, 15232, 98109]",82.53,0.37,81.64,1.24
it,es,None,None,mbert-base,"[11737, 15123, 15232]",83.07,0.45,81.55,2.04
it,es,stanza,rgcn,xlmr-base,"[11737, 98105, 98109]",76.15,0.81,75.4,1.13
it,es,stanza,rgat,xlmr-base,"[15123, 11737, 98109]",76.03,0.19,75.44,0.74
it,es,trankit,rgcn,xlmr-base,"[15123, 11737, 98105]",77.03,0.66,75.04,2.54
it,es,trankit,rgat,xlmr-base,"[15232, 98109, 98105]",78.67,0.48,77.03,2.33
it,es,None,None,xlmr-base,"[15232, 15123, 11737]",76.13,1.56,74.96,1.95
it,fr,stanza,rgcn,mbert-base,"[11737, 15123, 15232]",77.25,0.99,76.44,1.3
it,fr,stanza,rgat,mbert-base,"[11737, 98109, 15123]",77.47,0.5,77.08,0.63
it,fr,trankit,rgcn,mbert-base,"[15232, 98105, 15123]",77.18,0.64,76.55,1.0
it,fr,trankit,rgat,mbert-base,"[98109, 15232, 11737]",77.81,0.46,77.07,1.02
it,fr,None,None,mbert-base,"[11737, 98105, 15232]",77.67,1.11,75.76,2.52
it,fr,stanza,rgcn,xlmr-base,"[98109, 15123, 98105]",74.32,1.35,73.82,1.21
it,fr,stanza,rgat,xlmr-base,"[15123, 98109, 15232]",74.16,1.25,73.06,1.7
it,fr,trankit,rgcn,xlmr-base,"[11737, 98109, 98105]",74.75,1.58,73.73,1.76
it,fr,trankit,rgat,xlmr-base,"[15123, 15232, 98109]",76.63,0.24,73.93,3.34
it,fr,None,None,xlmr-base,"[15123, 15232, 98105]",72.17,0.85,70.74,2.24
it,it,stanza,rgcn,mbert-base,"[98105, 11737, 15232]",78.23,0.53,77.63,0.95
it,it,stanza,rgat,mbert-base,"[15232, 98109, 15123]",77.86,1.18,76.51,2.09
it,it,trankit,rgcn,mbert-base,"[15123, 98105, 15232]",78.85,0.71,78.11,1.09
it,it,trankit,rgat,mbert-base,"[11737, 98109, 15123]",77.29,0.82,76.26,1.57
it,it,None,None,mbert-base,"[11737, 98105, 15123]",76.32,0.84,74.74,2.54
it,it,stanza,rgcn,xlmr-base,"[15123, 98105, 98109]",73.26,0.68,71.92,1.83
it,it,stanza,rgat,xlmr-base,"[98109, 15123, 15232]",75.55,1.24,73.6,3.35
it,it,trankit,rgcn,xlmr-base,"[98109, 98105, 11737]",72.63,2.28,71.41,2.32
it,it,trankit,rgat,xlmr-base,"[98109, 15123, 15232]",73.96,1.72,72.03,2.83
it,it,None,None,xlmr-base,"[98105, 15123, 98109]",74.79,1.18,72.96,2.44
it,de,stanza,rgcn,mbert-base,"[11737, 15232, 15123]",74.7,1.43,73.36,2.19
it,de,stanza,rgat,mbert-base,"[98109, 98105, 11737]",75.69,1.51,74.32,2.09
it,de,trankit,rgcn,mbert-base,"[15232, 98109, 11737]",75.96,1.19,74.9,1.7
it,de,trankit,rgat,mbert-base,"[15232, 98109, 11737]",76.29,0.09,75.23,1.46
it,de,None,None,mbert-base,"[11737, 98105, 15232]",72.86,1.11,71.91,1.55
it,de,stanza,rgcn,xlmr-base,"[15123, 98105, 11737]",67.19,2.12,65.32,3.12
it,de,stanza,rgat,xlmr-base,"[11737, 15123, 98105]",68.91,0.25,68.23,0.91
it,de,trankit,rgcn,xlmr-base,"[15123, 98105, 11737]",69.99,1.66,68.08,2.67
it,de,trankit,rgat,xlmr-base,"[15232, 98109, 11737]",70.2,0.98,68.41,2.33
it,de,None,None,xlmr-base,"[15123, 11737, 98105]",68.17,1.73,66.57,2.67
it,ar,stanza,rgcn,mbert-base,"[11737, 98105, 15232]",70.77,0.33,69.88,1.37
